Institution,ZIP,Cost,
Brigham Young University-Hawaii,96762-1294,19776,
Brigham Young University-Idaho,83460-1690,12448,
Brigham Young University-Provo,84602,19236,
Brown University,02912,77490,
Bryan College-Dayton,37321,39650,
Bryant University,02917-1291,64050,
Bryn Athyn College of the New Church,19009-0711,38461,
Bryn Mawr College,19010,73540,
Bucknell University,17837,75400,
Buena Vista University,50588,48375,
Butler Community College,67042-3280,13449,
Butler University,46208,61950,
Cabrini University,19087-3698,48245,
Cairn University-Langhorne,19047-2990,42694,
Caldwell University,07006-6195,54155,
California Aeronautical University,93308,42500,
California Baptist University,92504-3297,50228,
California Christian College,93727,21967,
California College of the Arts,94107-2247,70113,
California Institute of Technology,91125,74763,
California Institute of the Arts,91355-2397,73980,
California Lutheran University,91360-2787,64270,
California Polytechnic State University-San Luis Obispo,93407,28927,
California State Polytechnic University-Pomona,91768,28542,
California State University Maritime Academy,94590-8181,28403,
California State University-Bakersfield,93311-1099,25031,
California State University-Channel Islands,93012,28966,
California State University-Chico,95929-0150,25994,
California State University-Dominguez Hills,90747-0005,24533,
California State University-East Bay,94542,27248,
California State University-Fresno,93740,21716,
California State University-Fullerton,92831-3599,28043,
California State University-Long Beach,90840-0115,25258,
California State University-Los Angeles,90032-8506,28027,
California State University-Monterey Bay,93955-8001,24778,
California State University-Northridge,91330,23645,
California State University-Sacramento,95819-2694,27130,
California State University-San Bernardino,92407-2393,24860,
California State University-San Marcos,92096-0001,25925,
California State University-Stanislaus,95382-0299,22824,
California University of Pennsylvania,15419-1394,27218,
Calvary University,64147-1341,19053,
Calvin University,49546,50900,
Cameron University,73505-6377,16162,
Campbell University,27506,52420,
Campbellsville University,42718-2799,39646,
Canisius College,14208-1098,43454,
Capital University,43209-2394,52176,
Capitol Technology University,20708,43862,
Cardinal Stritch University,53217-3985,46440,
Carl Albert State College,74953-5208,13543,
Carleton College,55057,74275,
Carlow University,15213-3165,45912,
Carnegie Mellon University,15213-3890,74491,
Carolina Christian College,27105,14790,
Carroll College,59625-0002,50838,
Carroll University,53186,46538,
Carson-Newman University,37760,42234,
Carthage College,53140-1994,61200,
Case Western Reserve University,44106,69638,
Casper College,82601-4699,14594,
Castleton University,05735,25894,
Catawba College,28144,45954,
Cazenovia College,13035,52478,
Cedar Crest College,18104-6196,55115,
Cedarville University,45314-0601,42664,
Centenary College of Louisiana,71104,55300,
Centenary University,07840,50140,
Central Arizona College,85128-9030,14744,
Central Baptist College,72034,27754,
Central Christian College of Kansas,67460-5740,31180,
Central Christian College of the Bible,65270-1997,24753,
Central College,50219,53402,
Central Community College,68802-4903,13714,
Central Connecticut State University,06050,26861,
Central Maine Community College,04210-6498,16624,
Central Methodist University-College of Liberal Arts and Sciences,65248-1198,39750,
Central Michigan University,48859,25368,
Central Oregon Community College,97703,22212,
Central Penn College,17093-0309,28830,
Central State University,45384-1004,19906,
Central Texas College,76549-4199,13816,
Central Washington University,98926-7501,24732,
Central Wyoming College,82501,14581,
Central Yeshiva Tomchei Tmimim Lubavitz,11230-2798,15200,
Centralia College,98531-4099,19722,
Centre College,40422-1394,56910,
Chadron State College,69337-2690,22446,
Chaminade University of Honolulu,96816-1578,44331,
Champion Christian College,71913,17140,
Champlain College,05401,60940,
Chandler-Gilbert Community College,85225-2499,22254,
Chapman University,92866,75112,
Charleston Southern University,29406-9121,41600,
Chatham University,15232,53606,
Chestnut Hill College,19118-2693,55772,
Cheyney University of Pennsylvania,19319-0200,25492,
Chicago State University,60628-1598,26341,
Chipola College,32446-2053,11415,
Chowan University,27855,37670,
Christ Mission College,78254-1000,13812,
Christian Brothers University,38104,47330,
Christopher Newport University,23606-3072,31738,
Cincinnati Christian University,45204-3200,33538,
Cisco College,76437,16272,
Citadel Military College of South Carolina,29409,30022,
Claflin University,29115-4498,33822,
Claremont McKenna College,91711-6400,76475,
Clarendon College,79226,14506,
Clarion University of Pennsylvania,16214,28377,
Clark Atlanta University,30314-4391,39194,
Clark University,01610-1477,58430,
Clarke University,52001-3198,49360,
Clarks Summit University,18411-1250,35272,
Clarkson College,68131-2739,24812,
Clarkson University,13699,70228,
Clayton  State University,30260-0285,21290,
Clear Creek Baptist Bible College,40977-9752,19402,
Cleary University,48843,33684,
Clemson University,29634,32462,
Cleveland Institute of Art,44106-1710,60405,
Cleveland Institute of Music,44106-1776,60680,
Cleveland State University,44115-2214,27977,
Clinton College,29730,21771,
Cloud County Community College,66901-1002,13768,
Coahoma Community College,38614,9923,
Coastal Alabama Community College,36507-2698,16607,
Coastal Bend College,78102,13687,
Coastal Carolina University,29526,25724,
Cochise County Community College District,85635-2317,14065,
Coe College,52402-5092,59070,
Coffeyville Community College,67337-5064,12530,
Cogswell College,95134,42094,
Coker University,29550,43515,
Colby College,04901-8840,73600,
Colby Community College,67701,14206,
Colby-Sawyer College,03257-7835,61624,
Colgate University,13346-1398,75015,
College for Creative Studies,48202,58409,
College of Charleston,29424-0001,30221,
College of Coastal Georgia,31520-3644,21629,
College of Mount Saint Vincent,10471-1093,55365,
College of Our Lady of the Elms,01013,54166,
College of Saint Benedict,56374,60028,
College of Saint Elizabeth,07960,53178,
College of Saint Mary,68106,32382,
College of Southern Idaho,83301,15298,
College of Staten Island CUNY,10314,33053,
College of the Atlantic,04609,54969,
College of the Holy Cross,01610-2395,71710,
College of the Muscogee Nation,74447-0917,21940,
College of the Ozarks,65726-0017,30764,
College of the Redwoods,95501-9300,13659,
College of the Siskiyous,96094-2899,14985,
Colorado Christian University,80226,46894,
Colorado College,80903,74760,
Colorado Mesa University,81501-3122,24488,
Colorado Mountain College,81601-0233,16784,
Colorado Northwestern Community College,81648-3598,19177,
Colorado School of Mines,80401,36652,
Colorado State University-Fort Collins,80523-0100,26935,
Colorado State University-Pueblo,81001-4901,25817,
Columbia Basin College,99301,18583,
Columbia College,65216,37554,
Columbia College,29203,33762,
Columbia College Chicago,60605-1996,48212,
Columbia International University,29203-1513,37160,
Columbia University in the City of New York,10027,79752,
Columbus College of Art and Design,43215,51274,
Columbus State University,31907-5645,22068,
Commonwealth Technical Institute,15905-3092,32145,
Conception Seminary College,64433-0502,38960,
Concord University,24712,22191,
Concordia College at Moorhead,56562,54046,
Concordia College-New York,10708-1998,50700,
Concordia University Texas,78726,48634,
Concordia University-Ann Arbor,48105,45635,
Concordia University-Chicago,60305-1499,45476,
Concordia University-Irvine,92612-3203,54370,
Concordia University-Nebraska,68434-1556,45780,
Concordia University-Portland,97211-6099,45560,
Concordia University-Saint Paul,55104-5494,36000,
Concordia University-Wisconsin,53097-2402,46422,
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,11219-5440,31000,
Connecticut College,06320-4196,74590,
Connors State College,74469,18412,
Converse College,29302-0006,36110,
Cooper Union for the Advancement of Science and Art,10003-7120,66713,
Copiah-Lincoln Community College,39191,11830,
Coppin State University,21216-3698,23805,
Corban University,97317-9392,46606,
Cornell College,52314-1098,60337,
Cornell University,14853,76258,
Cornerstone University,49525-5897,38150,
Cornish College of the Arts,98121,51424,
Cottey College,64772,33204,
Covenant College,30750-4164,49420,
Cowley County Community College,67005,15350,
Creighton University,68178,56674,
Crowder College,64850,14290,
Crowley's Ridge College,72450,23810,
Crown College,55375-9001,41778,
Culinary Institute of America,12538-1499,50370,
Culver-Stockton College,63435-1299,40600,
Cumberland University,37087,39230,
CUNY Bernard M Baruch College,10010,33283,
CUNY City College,10031,30372,
CUNY Hunter College,10065,24158,
CUNY John Jay College of Criminal Justice,10019,36167,
CUNY Lehman College,10468,28658,
CUNY Queens College,11367,29508,
Curry College,02186-2395,60150,
Curtis Institute of Music,19103,24092,
D'Youville College,14201-1084,44732,
Daemen College,14226-3592,45170,
Dakota College at Bottineau,58318-1198,16938,
Dakota State University,57042-1799,22574,
Dakota Wesleyan University,57301-4398,38900,
Dallas Baptist University,75211-9299,43019,
Dallas Christian College,75234-7299,34106,
Dalton State College,30720-3797,14948,
Dartmouth College,03755-3529,77152,
Davenport University,49512-9396,33180,
Davidson College,28035,70744,
Davis & Elkins College,26241-3996,43644,
Davis College,13790-2712,28150,
Dawson Community College,59330,17711,
Dean College,02038-1941,60172,
Defiance College,43512,47600,
Delaware College of Art and Design,19801-3007,46170,
Delaware State University,19901,24692,
Delaware Valley University,18901-2697,58040,
Delta State University,38733,20879,
Denison University,43023,69400,
Denmark Technical College,29042,19817,
DePaul University,60604,59406,
DePauw University,46135-1772,66946,
Des Moines Area Community College,50023-3993,14578,
DeSales University,18034-9568,55974,
Dickinson College,17013-2896,73879,
Dickinson State University,58601-4896,19924,
DigiPen Institute of Technology,98052,48981,
Dillard University,70122,35029,
Dine College,86556,12700,
Divine Word College,52045,20540,
Dixie State University,84770-3876,19454,
Doane University,68333,50470,
Dodge City Community College,67801-2399,15226,
Dominican College of Blauvelt,10962-1210,47708,
Dominican University,60305,47541,
Dominican University of California,94901-2298,67943,
Dordt University,51250-1606,46400,
Drake University,50311-4505,58488,
Drew University,07940,58814,
Drexel University,19104,71657,
Drury University,65802-3791,42259,
Drury University-College of Continuing Professional Studies,65802,23768,
Duke University,27708,77029,
Dunwoody College of Technology,55403-1192,37428,
Duquesne University,15282,56680,
