instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
Baldwin Wallace University,44017-2088,50260,12,61,,,,23,26,6,1,1,26,0,,17
Ball State University,47306,24962,58,358,,,,53,136,1,6,2,134,9,160,34
Bard College at Simon's Rock,01230-9702,74264,5,,,,,2,7,3,2,,4,0,,0
Barry University,33161-6695,47398,1,20,,,,5,60,3,1,,28,,,2
Baylor University,76798,64880,47,116,,84,34,36,225,33,11,31,105,,70,43
Belhaven University,39202,36652,3,4,,,,13,10,1,0,,53,18,,14
Bellevue College,98007-6484,21296,40,,,,,,,,,,,,,
Beloit College,53511-5595,63514,8,9,,,,20,14,8,4,1,32,4,,9
Bemidji State University,56601,21490,8,121,,,,9,41,2,,,69,,,5
Benedict College,29204-1086,28000,6,0,,,,5,14,2,,,12,,,0
Benedictine College,66002-1499,46380,6,39,8,13,,10,22,11,5,,21,,,8
Benedictine University,60532-0900,50006,16,25,,,,5,53,5,2,,77,,,0
Bennington College,05201-6003,75950,4,1,,,,17,2,2,1,0,6,6,,0
Bethany College,26032,45570,4,9,,,,1,4,0,,1,26,,,3
Bethany Lutheran College,56001,38820,2,11,,,,5,7,0,,0,6,,,2
Bethune-Cookman University,32114-3099,30226,2,31,,,,8,20,2,,7,71,,,2
Binghamton University,13850-6000,28269,90,,,100,,151,277,136,14,7,306,,,82
Biola University,90639-0001,59176,18,51,,,,24,35,15,6,,106,,,12
Blackburn College,62626,33260,4,12,,,,8,10,0,,,9,,,0
Bloomfield College,7003,46811,4,7,,,,9,18,3,0,2,45,,,0
Bloomsburg University of Pennsylvania,17815,25996,18,133,,,,33,44,12,6,,74,,3,23
Bob Jones University,29614-0001,29480,9,74,,,,15,14,3,,,16,,,11
Boise State University,83725,24300,111,152,,91,,75,117,24,7,,137,,194,25
Boston College,2467,75886,65,48,,,,99,201,62,41,2,219,,,42
Boston University,2215,75002,213,87,,157,,60,125,91,36,2,263,,,36
Bowdoin College,4011,73800,22,0,,,,23,26,32,8,2,21,,,25
Bradley University,61625-0001,48990,28,67,,73,,24,25,2,2,0,48,,,8
Brandeis University,02454-9110,76141,70,7,,,,18,109,17,12,,60,,48,16
Briar Cliff University,51104,46650,3,8,,,,2,7,1,,,12,,0,6
Bridgewater College,22812-1599,53000,8,,,,,10,31,3,,,29,,,19
Bridgewater State University,2325,27476,49,315,,,,75,70,38,3,,280,6,,48
Brigham Young University-Hawaii,96762-1294,19776,20,57,,,,10,28,3,,,44,,0,4
Brigham Young University-Idaho,83460-1690,12448,45,378,,127,,105,230,14,,,200,20,,25
Brigham Young University-Provo,84602,19236,181,385,97,157,3,128,0,206,16,,317,23,38,87
Brown University,2912,77490,193,18,,,,98,81,185,13,6,56,,,71
Bryn Mawr College,19010,73540,19,,,,,33,23,28,4,1,33,,,12
Cairn University-Langhorne,19047-2990,42694,1,26,,,,6,0,,,1,13,,,0
Caldwell University,07006-6195,54155,1,20,,,,3,21,2,,,44,,,2
California Baptist University,92504-3297,50228,6,58,10,35,21,27,51,9,5,18,169,,174,14
California Institute of Technology,91125,74763,72,,9,15,,0,12,16,0,,,,,0
California Lutheran University,91360-2787,64270,42,,,,,14,74,15,4,2,100,,,10
California Polytechnic State University-San Luis Obispo,93407,28927,191,68,,308,,55,196,78,26,,124,,,64
California State Polytechnic University-Pomona,91768,28542,238,82,79,225,,75,218,95,23,,269,,,76
California State University-Bakersfield,93311-1099,25031,60,108,,,,59,76,20,7,1,230,,,37
California State University-Channel Islands,93012,28966,63,59,,,,63,126,27,,,320,,,54
California State University-Chico,95929-0150,25994,60,67,,99,,63,68,32,9,6,326,,,65
California State University-Dominguez Hills,90747-0005,24533,57,194,,,,68,86,26,2,,496,,,21
California State University-East Bay,94542,27248,140,,,,,40,140,34,4,,342,,,35
California State University-Fresno,93740,21716,46,162,,86,,95,167,32,23,,454,,,96
California State University-Fullerton,92831-3599,28043,259,516,,230,,133,211,78,19,4,709,32,,97
California State University-Long Beach,90840-0115,25258,220,0,91,193,,247,247,79,30,6,501,33,,138
California State University-Los Angeles,90032-8506,28027,119,423,,144,,107,142,37,11,,345,,,61
California State University-Monterey Bay,93955-8001,24778,173,,,,,,98,35,,,242,,,
California State University-Northridge,91330,23645,160,344,,225,,162,281,52,23,8,799,,,72
California State University-Sacramento,95819-2694,27130,239,494,,204,,125,260,54,43,,488,,,107
California State University-San Bernardino,92407-2393,24860,94,10,,,,128,151,83,14,,661,,,81
California State University-San Marcos,92096-0001,25925,161,86,,,,88,175,19,,,306,,,77
California State University-Stanislaus,95382-0299,22824,67,56,,,,50,109,35,2,,362,,,57
Calvin University,49546,50900,34,73,,,,19,32,10,1,5,41,,,5
Cameron University,73505-6377,16162,21,60,,,,7,21,6,,,38,,,5
Canisius College,14208-1098,43454,12,17,,,,11,40,2,3,0,45,,,6
Capital University,43209-2394,52176,12,59,,,,15,35,3,5,1,41,,,6
Cardinal Stritch University,53217-3985,46440,10,12,,,,2,5,3,,2,12,,13,3
Carleton College,55057,74275,58,,,,,27,60,50,6,9,39,0,,24
Carnegie Mellon University,15213-3890,74491,195,0,40,130,,22,29,197,10,,21,,,10
Carroll College,59625-0002,50838,5,13,,,,5,29,3,1,,13,,,10
Carroll University,53186,46538,14,31,,,,6,37,5,0,1,49,,,5
Carson-Newman University,37760,42234,1,54,,,,4,28,11,1,11,33,,,8
Case Western Reserve University,44106,69638,120,4,46,80,,15,62,48,3,0,47,3,,8
Cedarville University,45314-0601,42664,18,63,,45,,22,16,5,,,26,,,6
Central College,50219,53402,6,21,,,,4,33,6,1,1,12,,,3
Central Methodist University-College of Liberal Arts and Sciences,65248-1198,39750,9,38,,,,2,31,1,,,9,,23,0
Central Michigan University,48859,25368,60,275,,48,,34,49,23,4,2,261,,,26
Central Penn College,17093-0309,28830,15,,,,,,,,,,,,,
Central State University,45384-1004,19906,2,8,,,,4,21,1,,,31,,54,3
Central Washington University,98926-7501,24732,44,215,,0,,57,25,9,0,0,186,0,,25
Centre College,40422-1394,56910,10,,,,,13,27,15,1,7,53,,,12
Champlain College,5401,60940,34,19,,,,21,,0,,,20,,,
Chapman University,92866,75112,30,48,,,,55,42,16,17,1,120,30,,14
Charleston Southern University,29406-9121,41600,16,57,,,,8,38,6,,5,23,,,2
Chicago State University,60628-1598,26341,7,26,,,,4,19,1,,,66,,,2
Christian Brothers University,38104,47330,12,3,2,24,,2,15,9,1,0,29,,1,3
Christopher Newport University,23606-3072,31738,56,,,,,43,152,19,8,,150,,,34
Claflin University,29115-4498,33822,8,8,,,,6,26,1,,,48,,,3
Claremont McKenna College,91711-6400,76475,25,,,,,4,13,9,2,2,22,1,,7
Clark Atlanta University,30314-4391,39194,9,33,,,,15,53,9,1,2,73,,,2
Clark University,01610-1477,58430,18,7,,,,17,48,5,5,,75,,,15
Clarkson University,13699,70228,28,,52,164,,,30,13,,,18,,,3
Clayton  State University,30260-0285,21290,23,12,,,,17,31,6,0,,90,,28,11
Cleveland State University,44115-2214,27977,48,110,50,117,,39,86,26,5,2,215,2,,28
Coe College,52402-5092,59070,11,9,,,,7,45,7,1,0,31,,,4
Coker University,29550,43515,3,7,,,,2,10,0,,,21,3,27,3
Colby College,04901-8840,73600,20,8,,,,27,23,26,10,3,34,,,9
Colgate University,13346-1398,75015,43,18,,,,39,19,20,20,10,44,,,24
College of Our Lady of the Elms,1013,54166,1,27,,,,4,13,0,,1,17,,,3
College of Saint Benedict,56374,60028,4,31,,,,17,52,2,3,,41,,,1
College of Staten Island CUNY,10314,33053,68,79,,,,99,71,23,11,,330,,181,46
College of the Holy Cross,01610-2395,71710,13,0,,,,57,52,35,9,6,104,0,,31
College of the Ozarks,65726-0017,30764,5,41,,,,4,6,4,,,23,,,6
Colorado School of Mines,80401,36652,125,,104,313,,,,25,,,,,,
Columbia College,65216,37554,15,,,,,20,27,5,0,,119,,292,45
Columbia University in the City of New York,10027,79752,301,0,39,57,,112,64,92,47,6,90,3,,112
Concordia College at Moorhead,56562,54046,7,48,,,,13,47,17,3,2,19,,,5
Concordia University Texas,78726,48634,12,9,,,,5,19,4,,,11,,18,5
Concordia University-Ann Arbor,48105,45635,4,14,,,,1,13,1,,0,5,,5,1
Concordia University-Nebraska,68434-1556,45780,5,68,,,,6,29,4,,,21,,28,8
Concordia University-Saint Paul,55104-5494,36000,16,37,,,,9,26,9,,,57,,,2
Concordia University-Wisconsin,53097-2402,46422,7,70,,,,5,22,2,3,,9,,6,2
Connecticut College,06320-4196,74590,20,,,,,19,22,4,4,1,41,7,,21
Coppin State University,21216-3698,23805,3,26,,,,0,15,1,,,49,1,,4
Cornell College,52314-1098,60337,7,10,,,,14,6,4,3,1,33,,,6
Cornell University,14853,76258,343,0,60,153,,33,277,79,16,2,68,0,,28
Creighton University,68178,56674,14,16,,,,10,87,5,5,,69,,,12
CUNY City College,10031,30372,102,115,46,125,,117,242,52,15,,372,0,,43
CUNY Hunter College,10065,24158,115,42,,,,226,116,50,23,9,649,12,,39
CUNY Lehman College,10468,28658,81,6,,,,84,63,43,25,0,268,3,,24
CUNY Queens College,11367,29508,272,254,,,,119,83,59,15,2,602,,,79
Dallas Baptist University,75211-9299,43019,7,31,,,,6,24,4,1,,67,,,8
Dartmouth College,03755-3529,77152,93,,,,,32,52,52,13,4,53,,,39
Davenport University,49512-9396,33180,40,,,,,,,,,,,,83,
Davis & Elkins College,26241-3996,43644,4,10,,,,2,2,1,,1,8,0,,2
Delaware State University,19901,24692,15,32,,,,7,53,0,,,42,,,2
Denison University,43023,69400,20,16,,,,19,54,11,7,0,50,0,,17
DePauw University,46135-1772,66946,37,14,,,,27,18,3,5,2,24,,,8
Dickinson College,17013-2896,73879,18,15,,,,17,26,18,10,2,27,,,12
Dixie State University,84770-3876,19454,15,44,,0,,29,62,5,,,46,5,,4
Doane University,68333,50470,5,33,,,,3,20,3,0,0,8,,,7
Dominican University,60305,47541,16,13,,,,13,22,12,2,,41,,,3
Drew University,7940,58814,18,1,,,,21,27,2,6,0,38,,,8
Drexel University,19104,71657,140,23,78,189,,11,117,23,4,,94,10,0,0
Duke University,27708,77029,228,26,,90,,40,158,59,5,4,110,0,,39
Duquesne University,15282,56680,16,106,,,,32,101,17,4,,64,,6,18
Earlham College,47374-4095,61265,14,,,,,16,19,3,3,2,12,,,10
East Carolina University,27858-4353,22388,63,344,,,,48,186,26,9,,210,8,,55
Eastern Illinois University,61920,24653,1,121,,,,29,60,3,4,,100,,,20
Eastern Mennonite University,22802-2462,52900,9,1,,,,5,14,6,,2,16,,,3
Eastern Michigan University,48197,27566,53,245,,12,3,42,81,23,8,1,192,2,36,36
Eastern Nazarene College,02170-2999,42630,2,16,,,,0,22,2,,0,7,,0,7
Eckerd College,33711-4700,63572,8,,,,,10,51,3,0,4,65,,20,5
Elizabeth City State University,27909,13496,7,12,,,,5,22,5,,,12,,,6
Elmhurst University,60126-3296,52049,17,71,,,,31,32,8,2,0,97,,,14
Elon University,27244-2010,52756,32,43,,,,28,29,25,5,5,86,8,,19
Embry-Riddle Aeronautical University-Daytona Beach,32114-3900,54724,10,,,79,,,,16,,,35,,,
Emory University,30322,72604,39,2,,,,56,194,138,27,4,116,1,,33
Endicott College,1915,53099,10,59,,,,8,,6,,,39,,,6
Fairleigh Dickinson University-Metropolitan Campus,7666,59976,17,,,,,8,31,1,0,,52,,,4
Faulkner University,36109-3390,36335,2,8,,,,5,2,2,,,31,,89,
Fayetteville State University,28301-4298,17521,21,57,,,,8,41,10,,,117,,,12
Fitchburg State University,01420-2697,25160,13,67,,,,22,49,7,,,38,,,14
Florida Institute of Technology,32901-6975,60150,25,1,31,109,,,24,14,,,45,,,
Florida Memorial University,33054-6199,30512,4,7,,,,0,10,1,,0,20,,,
Florida Southern College,33801-5698,53600,9,47,,,,10,35,7,3,3,39,7,,10
Franciscan University of Steubenville,43952-1763,40630,9,41,,,,13,26,11,18,,37,,,18
Franklin and Marshall College,17604-3003,75720,19,,,,,29,29,31,6,3,,1,,12
Franklin College,46131-2623,47414,2,18,,,,8,15,12,4,1,11,,4,7
Franklin University,43215-5399,25459,22,16,,,,,,1,,,36,,,
Frostburg State University,21532-1099,24650,19,61,,,,11,18,4,1,,74,,,6
Furman University,29613-6162,66626,12,17,,,,23,41,12,10,16,46,,,19
Gannon University,16541-0001,50488,1,14,,26,,2,36,5,4,,29,,,3
Gardner-Webb University,28017-0997,46850,18,22,,,,5,17,0,,11,67,,,4
George Mason University,22030-4444,29166,19,61,,76,,298,264,59,17,2,337,14,,82
George Washington University,20052,74160,40,,,53,,56,90,37,13,4,117,4,15,44
Georgetown University,20057-0001,76280,40,,,,,66,66,55,15,5,77,,,22
Georgia College & State University,31061,28851,12,87,,,,41,74,10,6,,82,,0,22
Georgia Southwestern State University,31709-4693,19928,11,61,,,,4,4,0,,,31,,,6
Georgia State University,30303-3083,29725,260,247,,,,107,328,41,30,3,482,,,51
